bioguide_id,chamber,job_type,congress_number,congress_start_date,congress_end_date,region_type,region_code,party_name,job_start_date,job_end_date,party_start_date,party_end_date
H000174,Representative,CongressMemberJob,86,1959-01-03,1961-01-03,StateRegion,WA,Democrat,1960-11-08,,,
H000197,Representative,CongressMemberJob,86,1959-01-03,1961-01-03,StateRegion,VA,Democrat,,,,
H000204,Representative,CongressMemberJob,86,1959-01-03,1961-01-03,StateRegion,KS,Democrat,,,,
H000216,Representative,CongressMemberJob,86,1959-01-03,1961-01-03,StateRegion,IN,Democrat,,,,
H000249,Representative,CongressMemberJob,86,1959-01-03,1961-01-03,DistrictRegion,AR,Democrat,1959-01-03,,,
H000264,Representative,CongressMemberJob,86,1959-01-03,1961-01-03,StateRegion,VA,Democrat,,,,
H000291,Senator,CongressMemberJob,86,1959-01-03,1961-01-03,StateRegion,MI,Democrat,1959-01-03,,,
H000297,Senator,CongressMemberJob,86,1959-01-03,1961-01-03,StateRegion,IN,Democrat,1959-01-03,,,
H000385,Senator,CongressMemberJob,86,1959-01-03,1961-01-03,StateRegion,AZ,Democrat,,,,
H000408,Representative,CongressMemberJob,86,1959-01-03,1961-01-03,StateRegion,OH,Democrat,,,,
H000424,Representative,CongressMemberJob,86,1959-01-03,1961-01-03,StateRegion,NY,Democrat,,,,
H000437,Representative,CongressMemberJob,86,1959-01-03,1961-01-03,StateRegion,LA,Democrat,,,,
H000438,Representative,CongressMemberJob,86,1959-01-03,1961-01-03,StateRegion,WV,Democrat,,,,
H000471,Representative,CongressMemberJob,86,1959-01-03,1961-01-03,StateRegion,SC,Democrat,,,,
H000484,Representative,CongressMemberJob,86,1959-01-03,1961-01-03,StateRegion,OH,Republican,,,,
H000502,Senator,CongressMemberJob,86,1959-01-03,1961-01-03,StateRegion,MO,Democrat,,1960-09-13,,
H000530,Representative,CongressMemberJob,86,1959-01-03,1961-01-03,StateRegion,FL,Democrat,,,,
H000550,Representative,CongressMemberJob,86,1959-01-03,1961-01-03,DistrictRegion,OH,Republican,1959-01-03,,,
H000559,Senator,CongressMemberJob,86,1959-01-03,1961-01-03,StateRegion,IA,Republican,,,,
H000568,Representative,CongressMemberJob,86,1959-01-03,1961-01-03,StateRegion,CA,Republican,,,,
H000598,Senator,CongressMemberJob,86,1959-01-03,1961-01-03,StateRegion,AL,Democrat,,,,
H000678,Representative,CongressMemberJob,86,1959-01-03,1961-01-03,StateRegion,IA,Republican,,,,
H000683,Representative,CongressMemberJob,86,1959-01-03,1961-01-03,DistrictRegion,MI,Republican,1959-01-03,,,
H000684,Representative,CongressMemberJob,86,1959-01-03,1961-01-03,StateRegion,IL,Republican,,,,
H000690,Representative,CongressMemberJob,86,1959-01-03,1961-01-03,StateRegion,IN,Democrat,,,,
H000713,Representative,CongressMemberJob,86,1959-01-03,1961-01-03,StateRegion,CA,Democrat,,,,
H000717,Representative,CongressMemberJob,86,1959-01-03,1961-01-03,StateRegion,PA,Democrat,,,,
H000720,Senator,CongressMemberJob,86,1959-01-03,1961-01-03,StateRegion,FL,Democrat,,,,
H000746,Representative,CongressMemberJob,86,1959-01-03,1961-01-03,StateRegion,CA,Republican,,,,
H000753,Representative,CongressMemberJob,86,1959-01-03,1961-01-03,StateRegion,NY,Democrat,,,,
H000786,Representative,CongressMemberJob,86,1959-01-03,1961-01-03,StateRegion,WA,Republican,,,,
H000802,Representative,CongressMemberJob,86,1959-01-03,1961-01-03,StateRegion,CA,Republican,,,,
H000875,Senator,CongressMemberJob,86,1959-01-03,1961-01-03,StateRegion,NE,Republican,,,,
H000904,Representative,CongressMemberJob,86,1959-01-03,1961-01-03,StateRegion,AL,Democrat,,,,
H000947,Representative,CongressMemberJob,86,1959-01-03,1961-01-03,StateRegion,MO,Democrat,,,,
H000953,Senator,CongressMemberJob,86,1959-01-03,1961-01-03,StateRegion,MN,Democrat,,,,
